
          t           a           e           i          Om           u           w        teta 
     125.100    7045.643       0.005       1.717       1.317       5.693       0.573       5.120
     125.200    7045.702       0.005       1.718       1.317       5.693       0.573       5.120
     125.300    7045.762       0.005       1.718       1.317       5.693       0.573       5.120
     125.400    7045.822       0.005       1.718       1.317       5.693       0.573       5.120
     125.500    7045.882       0.005       1.718       1.317       5.693       0.573       5.121
     125.600    7045.942       0.005       1.718       1.317       5.693       0.573       5.121
     125.700    7046.002       0.005       1.718       1.317       5.694       0.573       5.121
     125.800    7046.062       0.005       1.718       1.317       5.694       0.572       5.121
     125.900    7046.122       0.005       1.718       1.317       5.694       0.572       5.121
     126.000    7046.182       0.005       1.718       1.317       5.694       0.572       5.122
     126.100    7046.242       0.005       1.718       1.317       5.694       0.572       5.122
     126.200    7046.302       0.005       1.718       1.317       5.694       0.572       5.122
     126.300    7046.362       0.005       1.718       1.317       5.694       0.572       5.122
     126.400    7046.422       0.005       1.718       1.317       5.694       0.572       5.123
     126.500    7046.482       0.005       1.718       1.317       5.694       0.572       5.123
     126.600    7046.543       0.005       1.718       1.317       5.695       0.571       5.123
     126.700    7046.603       0.005       1.718       1.317       5.695       0.571       5.123
     126.800    7046.663       0.005       1.718       1.317       5.695       0.571       5.123
     126.900    7046.724       0.005       1.718       1.317       5.695       0.571       5.124
     127.000    7046.784       0.005       1.718       1.317       5.695       0.571       5.124
     127.100    7046.845       0.005       1.718       1.317       5.695       0.571       5.124
     127.200    7046.905       0.005       1.718       1.317       5.695       0.571       5.124
     127.300    7046.966       0.005       1.718       1.317       5.695       0.571       5.125
     127.400    7047.026       0.005       1.718       1.317       5.695       0.571       5.125
     127.500    7047.087       0.005       1.718       1.317       5.695       0.570       5.125
     127.600    7047.148       0.005       1.718       1.317       5.696       0.570       5.125
     127.700    7047.208       0.005       1.718       1.317       5.696       0.570       5.126
     127.800    7047.269       0.006       1.718       1.317       5.696       0.570       5.126
     127.900    7047.330       0.006       1.718       1.317       5.696       0.570       5.126
     128.000    7047.391       0.006       1.718       1.317       5.696       0.570       5.126
     128.100    7047.452       0.006       1.718       1.317       5.696       0.570       5.126
     128.200    7047.513       0.006       1.718       1.317       5.696       0.570       5.127
     128.300    7047.574       0.006       1.718       1.317       5.696       0.569       5.127
     128.400    7047.635       0.006       1.718       1.317       5.696       0.569       5.127
     128.500    7047.696       0.006       1.718       1.317       5.696       0.569       5.127
     128.600    7047.757       0.006       1.718       1.317       5.697       0.569       5.128
     128.700    7047.818       0.006       1.718       1.317       5.697       0.569       5.128
     128.800    7047.879       0.006       1.719       1.317       5.697       0.569       5.128
     128.900    7047.941       0.006       1.719       1.317       5.697       0.569       5.128
     129.000    7048.002       0.006       1.719       1.317       5.697       0.569       5.128
     129.100    7048.063       0.006       1.719       1.317       5.697       0.568       5.129
     129.200    7048.124       0.006       1.719       1.317       5.697       0.568       5.129
     129.300    7048.186       0.006       1.719       1.317       5.697       0.568       5.129
     129.400    7048.247       0.006       1.719       1.317       5.697       0.568       5.129
     129.500    7048.309       0.006       1.719       1.317       5.698       0.568       5.130
     129.600    7048.370       0.006       1.719       1.317       5.698       0.568       5.130
     129.700    7048.432       0.006       1.719       1.316       5.698       0.568       5.130
     129.800    7048.493       0.006       1.719       1.316       5.698       0.568       5.130
     129.900    7048.555       0.006       1.719       1.316       5.698       0.567       5.130
     130.000    7048.617       0.006       1.719       1.316       5.698       0.567       5.131
     130.100    7048.678       0.006       1.719       1.316       5.698       0.567       5.131
     130.200    7048.740       0.006       1.719       1.316       5.698       0.567       5.131
     130.300    7048.802       0.006       1.719       1.316       5.698       0.567       5.131
     130.400    7048.864       0.006       1.719       1.316       5.698       0.567       5.132
     130.500    7048.926       0.006       1.719       1.316       5.699       0.567       5.132
     130.600    7048.988       0.006       1.719       1.316       5.699       0.567       5.132
     130.700    7049.050       0.006       1.719       1.316       5.699       0.566       5.132
     130.800    7049.112       0.006       1.719       1.316       5.699       0.566       5.133
     130.900    7049.174       0.006       1.719       1.316       5.699       0.566       5.133
     131.000    7049.236       0.006       1.719       1.316       5.699       0.566       5.133
     131.100    7049.298       0.006       1.719       1.316       5.699       0.566       5.133
     131.200    7049.360       0.006       1.719       1.316       5.699       0.566       5.133
     131.300    7049.422       0.006       1.719       1.316       5.699       0.566       5.134
     131.400    7049.484       0.006       1.719       1.316       5.700       0.566       5.134
     131.500    7049.547       0.006       1.719       1.316       5.700       0.566       5.134
     131.600    7049.609       0.006       1.719       1.316       5.700       0.565       5.134
     131.700    7049.671       0.006       1.719       1.316       5.700       0.565       5.135
     131.800    7049.734       0.006       1.719       1.316       5.700       0.565       5.135
     131.900    7049.796       0.006       1.719       1.316       5.700       0.565       5.135
     132.000    7049.859       0.006       1.719       1.316       5.700       0.565       5.135
     132.100    7049.921       0.006       1.719       1.316       5.700       0.565       5.135
     132.200    7049.984       0.006       1.719       1.316       5.700       0.565       5.136
     132.300    7050.046       0.006       1.719       1.316       5.700       0.565       5.136
     132.400    7050.109       0.006       1.719       1.316       5.701       0.564       5.136
