
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       118.1     896.949    5772.489   -3914.848       1.854       3.930       6.178        6891    0.051994
       118.2     897.135    5772.882   -3914.230       1.854       3.930       6.178        6891    0.052281
       118.3     897.320    5773.275   -3913.612       1.854       3.930       6.179        6890    0.052568
       118.4     897.505    5773.668   -3912.994       1.853       3.929       6.179        6889    0.052855
       118.5     897.691    5774.060   -3912.376       1.853       3.929       6.180        6889    0.053142
       118.6     897.876    5774.453   -3911.758       1.853       3.928       6.180        6888    0.053430
       118.7     898.061    5774.846   -3911.140       1.853       3.928       6.181        6888    0.053717
       118.8     898.247    5775.239   -3910.522       1.852       3.927       6.181        6887    0.054004
       118.9     898.432    5775.632   -3909.904       1.852       3.927       6.182        6886    0.054291
       119.0     898.617    5776.024   -3909.286       1.852       3.927       6.182        6886    0.054578
       119.1     898.802    5776.417   -3908.667       1.851       3.926       6.183        6885    0.054865
       119.2     898.987    5776.810   -3908.049       1.851       3.926       6.183        6885    0.055152
       119.3     899.172    5777.202   -3907.431       1.851       3.925       6.184        6884    0.055439
       119.4     899.357    5777.595   -3906.812       1.851       3.925       6.184        6883    0.055726
       119.5     899.543    5777.987   -3906.194       1.850       3.924       6.185        6883    0.056013
       119.6     899.728    5778.379   -3905.575       1.850       3.924       6.185        6882    0.056300
       119.7     899.913    5778.772   -3904.957       1.850       3.924       6.186        6882    0.056587
       119.8     900.098    5779.164   -3904.338       1.850       3.923       6.187        6881    0.056874
       119.9     900.283    5779.556   -3903.719       1.849       3.923       6.187        6880    0.057161
       120.0     900.467    5779.949   -3903.101       1.849       3.922       6.188        6880    0.057448
       120.1     900.652    5780.341   -3902.482       1.849       3.922       6.188        6879    0.057735
       120.2     900.837    5780.733   -3901.863       1.849       3.921       6.189        6879    0.058022
       120.3     901.022    5781.125   -3901.244       1.848       3.921       6.189        6878    0.058309
       120.4     901.207    5781.517   -3900.625       1.848       3.920       6.190        6877    0.058596
       120.5     901.392    5781.909   -3900.006       1.848       3.920       6.190        6877    0.058883
       120.6     901.576    5782.301   -3899.387       1.848       3.920       6.191        6876    0.059170
       120.7     901.761    5782.693   -3898.768       1.847       3.919       6.191        6876    0.059457
       120.8     901.946    5783.085   -3898.149       1.847       3.919       6.192        6875    0.059744
       120.9     902.131    5783.477   -3897.530       1.847       3.918       6.192        6874    0.060031
       121.0     902.315    5783.869   -3896.911       1.847       3.918       6.193        6874    0.060319
       121.1     902.500    5784.261   -3896.291       1.846       3.917       6.193        6873    0.060606
       121.2     902.685    5784.652   -3895.672       1.846       3.917       6.194        6873    0.060893
       121.3     902.869    5785.044   -3895.053       1.846       3.917       6.194        6872    0.061180
       121.4     903.054    5785.436   -3894.433       1.845       3.916       6.195        6871    0.061467
       121.5     903.238    5785.827   -3893.814       1.845       3.916       6.195        6871    0.061754
       121.6     903.423    5786.219   -3893.194       1.845       3.915       6.196        6870    0.062041
       121.7     903.607    5786.610   -3892.574       1.845       3.915       6.196        6870    0.062328
       121.8     903.792    5787.002   -3891.955       1.844       3.914       6.197        6869    0.062615
       121.9     903.976    5787.393   -3891.335       1.844       3.914       6.197        6868    0.062902
       122.0     904.161    5787.785   -3890.715       1.844       3.914       6.198        6868    0.063189
       122.1     904.345    5788.176   -3890.096       1.844       3.913       6.198        6867    0.063476
       122.2     904.529    5788.567   -3889.476       1.843       3.913       6.199        6867    0.063763
       122.3     904.714    5788.958   -3888.856       1.843       3.912       6.199        6866    0.064050
       122.4     904.898    5789.350   -3888.236       1.843       3.912       6.200        6865    0.064337
       122.5     905.082    5789.741   -3887.616       1.843       3.911       6.200        6865    0.064624
       122.6     905.266    5790.132   -3886.996       1.842       3.911       6.201        6864    0.064911
       122.7     905.451    5790.523   -3886.376       1.842       3.911       6.201        6864    0.065198
       122.8     905.635    5790.914   -3885.755       1.842       3.910       6.202        6863    0.065484
       122.9     905.819    5791.305   -3885.135       1.842       3.910       6.202        6862    0.065771
       123.0     906.003    5791.696   -3884.515       1.841       3.909       6.203        6862    0.066058
       123.1     906.187    5792.087   -3883.895       1.841       3.909       6.203        6861    0.066345
       123.2     906.371    5792.478   -3883.274       1.841       3.908       6.204        6861    0.066632
       123.3     906.556    5792.869   -3882.654       1.841       3.908       6.204        6860    0.066919
       123.4     906.740    5793.259   -3882.033       1.840       3.907       6.205        6859    0.067206
       123.5     906.924    5793.650   -3881.413       1.840       3.907       6.206        6859    0.067493
       123.6     907.108    5794.041   -3880.792       1.840       3.907       6.206        6858    0.067780
       123.7     907.292    5794.431   -3880.172       1.840       3.906       6.207        6858    0.068067
       123.8     907.475    5794.822   -3879.551       1.839       3.906       6.207        6857    0.068354
       123.9     907.659    5795.213   -3878.930       1.839       3.905       6.208        6856    0.068641
       124.0     907.843    5795.603   -3878.309       1.839       3.905       6.208        6856    0.068928
       124.1     908.027    5795.994   -3877.689       1.838       3.904       6.209        6855    0.069215
       124.2     908.211    5796.384   -3877.068       1.838       3.904       6.209        6855    0.069502
       124.3     908.395    5796.774   -3876.447       1.838       3.904       6.210        6854    0.069789
       124.4     908.579    5797.165   -3875.826       1.838       3.903       6.210        6853    0.070076
       124.5     908.762    5797.555   -3875.205       1.837       3.903       6.211        6853    0.070363
       124.6     908.946    5797.945   -3874.584       1.837       3.902       6.211        6852    0.070650
       124.7     909.130    5798.335   -3873.963       1.837       3.902       6.212        6852    0.070937
       124.8     909.313    5798.726   -3873.341       1.837       3.901       6.212        6851    0.071224
       124.9     909.497    5799.116   -3872.720       1.836       3.901       6.213        6850    0.071511
       125.0     909.681    5799.506   -3872.099       1.836       3.901       6.213        6850    0.071798
       125.1     909.864    5799.896   -3871.478       1.836       3.900       6.214        6849    0.072085
       125.2     910.048    5800.286   -3870.856       1.836       3.900       6.214        6849    0.072371
       125.3     910.231    5800.676   -3870.235       1.835       3.899       6.215        6848    0.072658
       125.4     910.415    5801.066   -3869.613       1.835       3.899       6.215        6847    0.072945
       125.5     910.598    5801.456   -3868.992       1.835       3.898       6.216        6847    0.073232
       125.6     910.782    5801.845   -3868.370       1.835       3.898       6.216        6846    0.073519
       125.7     910.965    5802.235   -3867.748       1.834       3.898       6.217        6846    0.073806
